"y","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9-4","x_10-3","x_11-6","x_12-6","x_13-6","x_14-6","x_15-6","x_16-2","x_17-6","x_18-4","x_19-6","x_20-5","x_21-6","x_22","x_23","x_24-6","x_25","x_26","x_27","x_28-1","x_29","x_30","x_31","x_32-2","x_33-3","x_34","x_35","x_36-6","x_37-3","x_38-3","x_39-2","x_40-6","x_41","x_42-4","x_43","x_44","x_45-6","x_46","x_47","x_48","x_49","x_50","x_51-6","x_52-6","x_53","x_54","x_55-5","x_56","x_57","x_58","x_59-6","x_60-4","x_61-6","x_62","x_63","x_64","x_65-5","x_66-3","x_67-1","x_68","x_69-2","x_70","x_71","x_72-5","x_73-2","x_74-1","x_75","x_76-3","x_77","x_78-1","x_79-1","x_80","x_81-6","x_82-3","x_83-2","x_84-6","x_85-3","x_86","x_87","x_88-2","x_89","x_90","x_91","x_92","x_93","x_94","x_95-5","x_96-6","x_97-1","x_98","x_99","x_100","x_101","x_102-6","x_103","x_104","x_105","x_106-6","x_107-6","x_108-4","x_109-3","x_110-6","x_111-5"
18185,5.6,,189167,154.7,88.4,155806,90.7,1402,,,,,,,,,,,,,,6.1,342.9,,156881,270284,38.2,,40361,20865,47931,,,38419,7171,,,,,,4907,,125125,99804,,31013,40352,11020,34533,7127,,,,,,,,268151,,,,72.3857,82.5,286897,,,,183465,,,,,,,,,1.145,,,141.5,,,,,,139.165,82.725,,139.752,50275,63825,-13550,72.3857,990755,,,,8.390697674,12.31069767,6446.8,7337.7,,1153.2703,8.5,5.56,,,,,,
18651,5.5,,192269,155,98,150773,95.9,1317,,,,,,,,,,,,,,6.1,347.6,,154948,270362,39.1,44.8,40540,20571,49183,,,40336,4468,,,,,,4943,,125639,100548,,31314,40579,10910,34604,7861,,,,,,,,268364,,,,73.5162,83.4,282115,,,,176562,,,,,,1.09,,,1.145,126.3,129.7,141.6,,,,,,125.879,80.958,,133.999,51625,63519,-11894,73.5162,991286,,,14.449,8.217031146,12.06703115,6510.8,7394.7,,1163.0938,8.25,5.22,,,,,,
17860,5.5,,193993,155.5,98.4,164976,116,1369,,,,,,,,46.6,,,,,,6,342.3,,160676,270703,38.8,46,39483,21836,49780,78.1,,39885,5483,,,,90.66318,,5066,,125862,101058,,31341,40895,11238,34817,7905,,,,,,,,268595,,,,73.4143,83,294562,,,,204172,,,,,18.86,1.089,,,1.183,126.2,129.7,141.6,,,90.66317749,,,119.239,88.81,5.859,144.157,50901,63806,-12905,73.4143,989178,,,15.215,8.343915344,12.19391534,6553.8,7419.2,,1171.6843,8.25,5.31,,,,,,
17545,5.6,,194712,156.1,104.8,156830,146.6,1327,,4060000,,,,,,43.3,,,,,,5,288.4,,161875,270093,39.1,46.3,42586,20661,48102,82.7,105986,38349,4544,,,,75.83463,,5322,,125994,101665,,31079,40970,11418,35237,7500,,,,,,,,268853,,,,74.0513,83.3,295365,,,,205253,,,,,19.09,1.137,,0.354,1.275,126.4,130.5,141.6,,,75.83462524,,512.705,98.948,86.959,5.836,141.497,51351,64459,-13108,74.0513,992104,,,15.679,8.432674572,12.35267457,6592.1,7376.6,,1180.9031,8.25,5.22,,,,1.3669,,
17726,5.6,,196210,156.4,103.5,164502,143.9,1423,1387,4010000,,,,,,40,,40.3,,,,6.1,354.9,,165577,270316,38.5,46.1,44170,21318,50505,80.6,99293,38648,3370,,,,72.65244,,5561,14.92,126244,103290,,31364,41274,11533,35433,7846,,,,,,,,269108,,1467,,74.5812,83.6,299775,,,,218676,,,,,21.33,1.231,,0.39,1.273,127.4,130.9,142,,,72.6524353,,475.293,87.477,92.213,7.573,148.127,52012,66464,-14452,74.5812,993754,,,15.112,8.427087442,12.34708744,6633.1,7470.9,,1191.1137,8.25,5.24,,,66,1.3752,,
16395,5.3,,196127,156.7,100.1,164599,138,1437,1420,4200000,,,,,,43.9,,38.8,,50,,6.5,381.7,,168274,270198,39,46,44313,22429,51556,87.3,91676,37958,2857,,,,69.19065,,5753,14.83,126602,105325,,31233,41522,11474,35243,7692,,,,,,,,269386,,1491,,75.2056,83.9,303281,1.49,,,215551,,,,,23.5,1.279,,0.369,1.201,128.1,130.9,142.2,,,69.19065094,,476.247,81.417,89.533,6.365,142.28,52114,66087,-13973,75.2056,993128,1.5,,15.624,8.12152231,11.83152231,6677.4,7515.6,,1200.95,8.25,5.27,,,64,1.3656,,
13514,5.5,,196229,157,107,163588,137.5,1453,1437,4340000,187068,44.1,45.6,45.3,47.8,39.2,,39.9,41.5,51.3,48.3,6.1,354.1,6.4,164913,270584,38.7,46.5,44596,20573,51047,83.3,82912,35337,2384,10663,,,69.42779,0.8,5872,14.83,126947,106484,23322,31295,41358,11041,34947,7642,1605,16.1,,,,,,269667,1.5,1424,6.4,75.0578,83.3,300234,1.52,,,225109,,,,,21.17,1.256,,0.356,1.176,128,131.3,142.2,5.65,,69.42778778,2.82,429.791,81.662,93.427,5.813,148.121,51330,66253,-14923,75.0578,997579,1.5,486.42,14.864,8.383355177,12.23335518,6678.3,7495.7,1152,1211.8974,8.25,5.4,6.81,7.47,68,1.3592,7.4806,
15698,5.1,,196215,157.2,112,157310,144.2,1468,1463,4310000,185642,46.1,45.7,44.6,49.5,43.1,,41.5,43.5,50.8,48.1,5.9,349.1,5.3,165620,271017,38.9,45.8,43599,21059,50780,77.6,77195,34216,2856,11034,,,81.1797,0,5913,14.88,127172,106396,23589,31205,41463,11401,35358,7525,1730,16.4,,,,,,269976,1.7,1516,5.3,75.5237,83.5,301541,1.45,,,229050,,,,,20.42,1.227,,0.348,1.201,128,131.2,142.3,5.81,,81.17970276,1.89,433.09,83.338,95.395,6.56,152.054,52521,67329,-14808,75.5237,999982,1.46,485.6498,14.7,7.912295618,11.48229562,6706,7513.9,1163.7,1220.503,8.25,5.22,6.99,7.63,69,1.3693,7.5183,
15540,5.2,,198843,157.7,111.8,165442,128.7,1379,1457,4170000,184419,49.1,47.3,44.4,49.6,40.8,,50.2,40,51.4,47.5,6,356.7,6.2,168582,271911,38.8,45.9,44961,21910,49824,81.8,71380,33625,3482,10611,,,73.61083,0.14,5872,14.94,127536,104490,23934,31535,41710,11504,35907,7808,1751,17.3,,,,,,270284,1.98,1504,6.2,76.0082,83.6,305155,1.45,,,207604,,,,,21.3,1.207,,0.348,1.265,128.3,131.6,142.2,6.27,,73.61083221,2.24,434.026,78.198,84.767,6.815,137.951,52264,68080,-15816,76.0082,1000707,1.46,487.8559,15.128,8.204572175,11.84457218,6744.2,7532,1176.4,1225.2718,8.25,5.3,7.35,8.03,68,1.3658,7.5682,
15237,5.2,,200488,158.2,107.3,165266,130.8,1392,1429,4240000,189505,52.3,51.6,44.7,49.4,42.2,,47.9,44,57.2,47.5,5.8,340.1,6,164965,272455,39.1,46.1,41719,21100,52556,83.8,71182,31697,3418,9851,,,83.65826,0.02,5867,14.99,127890,105035,23723,31945,42264,11311,35807,8369,1690,17.6,,,,,,270581,1.99,1467,6,75.9507,83.2,301294,1.42,,,215654,,,,,21.9,1.202,,0.356,1.323,128.2,131.7,142.3,6.51,,83.65825653,2.56,455.237,84.083,92.398,6.296,151.939,53474,67423,-13949,75.9507,1004411,1.45,491.7546,15.184,8.261889251,11.90188925,6765.8,7530.9,1182.8,1231.3361,8.25,5.24,7.5,8.19,69,1.3697,7.4694,
