"Month","y"
1996-01-01,18185
1996-02-01,18651
1996-03-01,17860
1996-04-01,17545
1996-05-01,17726
1996-06-01,16395
1996-07-01,13514
1996-08-01,15698
1996-09-01,15540
1996-10-01,15237
1996-11-01,14714
1996-12-01,13294
1997-01-01,15808
1997-02-01,16573
1997-03-01,16709
1997-04-01,18409
1997-05-01,18589
1997-06-01,19013
1997-07-01,17322
1997-08-01,18466
1997-09-01,20960
1997-10-01,23599
1997-11-01,20052
1997-12-01,18493
1998-01-01,20273
1998-02-01,20921
1998-03-01,22880
1998-04-01,22215
1998-05-01,20673
1998-06-01,22811
1998-07-01,20526
1998-08-01,21977
1998-09-01,23748
1998-10-01,26181
1998-11-01,23392
1998-12-01,21143
1999-01-01,24253
1999-02-01,25544
1999-03-01,29171
1999-04-01,28144
1999-05-01,26304
1999-06-01,29744
1999-07-01,26163
1999-08-01,29147
1999-09-01,29246
1999-10-01,31034
1999-11-01,28981
1999-12-01,24866
2000-01-01,26278
2000-02-01,27749
2000-03-01,29751
2000-04-01,23156
2000-05-01,26183
2000-06-01,24445
2000-07-01,16808
2000-08-01,19100
2000-09-01,16301
2000-10-01,14939
2000-11-01,15031
2000-12-01,12247
2001-01-01,13139
2001-02-01,12198
2001-03-01,13588
2001-04-01,12174
2001-05-01,13619
2001-06-01,12955
2001-07-01,10812
2001-08-01,12116
2001-09-01,11057
2001-10-01,13916
2001-11-01,11475
2001-12-01,8896
2002-01-01,10279
2002-02-01,11813
2002-03-01,12810
2002-04-01,14512
2002-05-01,17282
2002-06-01,16950
2002-07-01,17827
2002-08-01,19796
2002-09-01,18317
2002-10-01,19127
2002-11-01,12325
2002-12-01,10137
2003-01-01,12297
2003-02-01,12015
2003-03-01,12905
2003-04-01,14863
2003-05-01,15264
2003-06-01,15555
2003-07-01,15462
2003-08-01,15471
2003-09-01,16733
2003-10-01,19687
2003-11-01,15856
2003-12-01,15740
2004-01-01,15621
2004-02-01,17391
2004-03-01,22017
2004-04-01,20459
2004-05-01,20010
2004-06-01,24151
2004-07-01,20852
2004-08-01,24105
2004-09-01,26513
2004-10-01,27405
2004-11-01,26324
2004-12-01,24252
2005-01-01,25487
2005-02-01,27130
2005-03-01,28423
2005-04-01,29073
2005-05-01,29622
2005-06-01,30837
2005-07-01,26126
2005-08-01,30870
2005-09-01,30294
2005-10-01,31533
2005-11-01,26205
2005-12-01,23526
2006-01-01,29518
2006-02-01,28864
2006-03-01,33070
2006-04-01,28806
2006-05-01,34390
2006-06-01,27751
2006-07-01,30324
2006-08-01,36017
2006-09-01,33417
2006-10-01,36726
2006-11-01,33241
2006-12-01,24324
2007-01-01,28722
2007-02-01,23225
2007-03-01,22481
2007-04-01,14752
2007-05-01,15093
2007-06-01,15228
2007-07-01,13980
2007-08-01,17741
2007-09-01,14800
2007-10-01,18246
2007-11-01,14326
2007-12-01,13797
2008-01-01,18266
2008-02-01,15986
2008-03-01,15457
2008-04-01,20146
2008-05-01,18778
2008-06-01,18865
2008-07-01,16337
2008-08-01,17305
2008-09-01,18100
2008-10-01,18973
2008-11-01,14082
2008-12-01,13344
2009-01-01,10166
2009-02-01,9368
2009-03-01,8954
2009-04-01,7370
2009-05-01,7585
2009-06-01,9808
2009-07-01,8830
2009-08-01,10106
2009-09-01,10971
2009-10-01,12255
2009-11-01,11302
2009-12-01,11681
2010-01-01,11356
2010-02-01,11139
2010-03-01,12494
2010-04-01,11259
2010-05-01,10821
2010-06-01,13117
2010-07-01,11846
2010-08-01,14066
2010-09-01,14402
2010-10-01,14657
2010-11-01,15770
2010-12-01,13246
2011-01-01,15751
2011-02-01,15004
2011-03-01,20378
2011-04-01,18253
2011-05-01,21004
2011-06-01,21283
2011-07-01,19599
2011-08-01,25230
2011-09-01,23575
2011-10-01,25627
2011-11-01,25198
2011-12-01,24065
2012-01-01,25048
2012-02-01,26223
2012-03-01,26256
2012-04-01,24430
2012-05-01,27247
2012-06-01,26096
2012-07-01,22579
2012-08-01,22841
2012-09-01,19188
2012-10-01,20549
2012-11-01,19768
2012-12-01,17288
2013-01-01,17349
2013-02-01,17971
2013-03-01,19553
2013-04-01,22596
2013-05-01,23004
2013-06-01,21491
2013-07-01,22458
2013-08-01,20416
2013-09-01,20641
2013-10-01,23126
2013-11-01,19743
2013-12-01,17453
2014-01-01,21754
2014-02-01,21272
2014-03-01,23966
2014-04-01,23325
2014-05-01,25104
2014-06-01,25224
2014-07-01,26089
2014-08-01,25850
2014-09-01,27703
2014-10-01,30297
2014-11-01,24525
2014-12-01,21988
2015-01-01,24875
2015-02-01,24990
